Date,Time,PM2.5 particulate matter (Hourly measured),Status
13/1/2024,6:00:00,0.542,V ugm-3 (Ref.eq)
13/1/2024,7:00:00,1.368,V ugm-3 (Ref.eq)
13/1/2024,8:00:00,1.108,V ugm-3 (Ref.eq)
13/1/2024,9:00:00,1.84,V ugm-3 (Ref.eq)
13/1/2024,10:00:00,2.476,V ugm-3 (Ref.eq)
13/1/2024,11:00:00,3.184,V ugm-3 (Ref.eq)
13/1/2024,12:00:00,3.278,V ugm-3 (Ref.eq)
13/1/2024,13:00:00,3.585,V ugm-3 (Ref.eq)
13/1/2024,14:00:00,4.387,V ugm-3 (Ref.eq)
13/1/2024,15:00:00,3.915,V ugm-3 (Ref.eq)
13/1/2024,16:00:00,3.844,V ugm-3 (Ref.eq)
13/1/2024,17:00:00,6.061,V ugm-3 (Ref.eq)
13/1/2024,18:00:00,11.132,V ugm-3 (Ref.eq)
13/1/2024,19:00:00,9.788,V ugm-3 (Ref.eq)
13/1/2024,20:00:00,7.783,V ugm-3 (Ref.eq)
13/1/2024,21:00:00,5.778,V ugm-3 (Ref.eq)
13/1/2024,22:00:00,7.005,V ugm-3 (Ref.eq)
13/1/2024,23:00:00,4.929,V ugm-3 (Ref.eq)
13/1/2024,24:00:00,5.684,V ugm-3 (Ref.eq)
14/1/2024,1:00:00,4.057,V ugm-3 (Ref.eq)
14/1/2024,2:00:00,3.042,V ugm-3 (Ref.eq)
14/1/2024,3:00:00,3.09,V ugm-3 (Ref.eq)
14/1/2024,4:00:00,2.807,V ugm-3 (Ref.eq)
14/1/2024,5:00:00,3.019,V ugm-3 (Ref.eq)
14/1/2024,6:00:00,2.571,V ugm-3 (Ref.eq)
14/1/2024,7:00:00,2.288,V ugm-3 (Ref.eq)
14/1/2024,8:00:00,1.934,V ugm-3 (Ref.eq)
14/1/2024,9:00:00,2.972,V ugm-3 (Ref.eq)
14/1/2024,10:00:00,2.995,V ugm-3 (Ref.eq)
14/1/2024,11:00:00,3.373,V ugm-3 (Ref.eq)
14/1/2024,12:00:00,4.292,V ugm-3 (Ref.eq)
14/1/2024,13:00:00,2.429,V ugm-3 (Ref.eq)
14/1/2024,14:00:00,4.599,V ugm-3 (Ref.eq)
14/1/2024,15:00:00,5.755,V ugm-3 (Ref.eq)
14/1/2024,16:00:00,5.731,V ugm-3 (Ref.eq)
14/1/2024,17:00:00,5.236,V ugm-3 (Ref.eq)
14/1/2024,18:00:00,6.486,V ugm-3 (Ref.eq)
14/1/2024,19:00:00,7.783,V ugm-3 (Ref.eq)
14/1/2024,20:00:00,7.311,V ugm-3 (Ref.eq)
14/1/2024,21:00:00,4.717,V ugm-3 (Ref.eq)
14/1/2024,22:00:00,2.594,V ugm-3 (Ref.eq)
14/1/2024,23:00:00,2.028,V ugm-3 (Ref.eq)
14/1/2024,24:00:00,1.769,V ugm-3 (Ref.eq)
15/1/2024,1:00:00,1.698,V ugm-3 (Ref.eq)
15/1/2024,2:00:00,1.557,V ugm-3 (Ref.eq)
15/1/2024,3:00:00,1.344,V ugm-3 (Ref.eq)
15/1/2024,4:00:00,1.368,V ugm-3 (Ref.eq)
15/1/2024,5:00:00,1.061,V ugm-3 (Ref.eq)
15/1/2024,6:00:00,1.038,V ugm-3 (Ref.eq)
15/1/2024,7:00:00,1.203,V ugm-3 (Ref.eq)
15/1/2024,8:00:00,1.627,V ugm-3 (Ref.eq)
15/1/2024,9:00:00,2.099,V ugm-3 (Ref.eq)
15/1/2024,10:00:00,2.948,V ugm-3 (Ref.eq)
15/1/2024,11:00:00,2.83,V ugm-3 (Ref.eq)
15/1/2024,12:00:00,2.995,V ugm-3 (Ref.eq)
15/1/2024,13:00:00,3.538,V ugm-3 (Ref.eq)
15/1/2024,14:00:00,3.302,V ugm-3 (Ref.eq)
15/1/2024,15:00:00,3.726,V ugm-3 (Ref.eq)
15/1/2024,16:00:00,3.09,V ugm-3 (Ref.eq)
15/1/2024,17:00:00,5.401,V ugm-3 (Ref.eq)
15/1/2024,18:00:00,4.882,V ugm-3 (Ref.eq)
15/1/2024,19:00:00,6.014,V ugm-3 (Ref.eq)
15/1/2024,20:00:00,5.519,V ugm-3 (Ref.eq)
15/1/2024,21:00:00,4.175,V ugm-3 (Ref.eq)
15/1/2024,22:00:00,3.939,V ugm-3 (Ref.eq)
15/1/2024,23:00:00,4.104,V ugm-3 (Ref.eq)
15/1/2024,24:00:00,4.127,V ugm-3 (Ref.eq)
16/1/2024,1:00:00,3.467,V ugm-3 (Ref.eq)
16/1/2024,2:00:00,4.67,V ugm-3 (Ref.eq)
16/1/2024,3:00:00,5.731,V ugm-3 (Ref.eq)
16/1/2024,4:00:00,5,V ugm-3 (Ref.eq)
16/1/2024,5:00:00,5.377,V ugm-3 (Ref.eq)
16/1/2024,6:00:00,5.66,V ugm-3 (Ref.eq)
16/1/2024,7:00:00,3.467,V ugm-3 (Ref.eq)
16/1/2024,8:00:00,3.278,V ugm-3 (Ref.eq)
16/1/2024,9:00:00,6.745,V ugm-3 (Ref.eq)
16/1/2024,10:00:00,5.024,V ugm-3 (Ref.eq)
16/1/2024,11:00:00,5.495,V ugm-3 (Ref.eq)
16/1/2024,12:00:00,4.009,V ugm-3 (Ref.eq)
16/1/2024,13:00:00,3.821,V ugm-3 (Ref.eq)
16/1/2024,14:00:00,4.623,V ugm-3 (Ref.eq)
16/1/2024,15:00:00,4.41,V ugm-3 (Ref.eq)
16/1/2024,16:00:00,3.774,V ugm-3 (Ref.eq)
16/1/2024,17:00:00,3.821,V ugm-3 (Ref.eq)
16/1/2024,18:00:00,4.033,V ugm-3 (Ref.eq)
16/1/2024,19:00:00,4.08,V ugm-3 (Ref.eq)
16/1/2024,20:00:00,4.623,V ugm-3 (Ref.eq)
16/1/2024,21:00:00,4.717,V ugm-3 (Ref.eq)
16/1/2024,22:00:00,4.458,V ugm-3 (Ref.eq)
16/1/2024,23:00:00,4.08,V ugm-3 (Ref.eq)
16/1/2024,24:00:00,4.363,V ugm-3 (Ref.eq)
17/1/2024,1:00:00,5.047,V ugm-3 (Ref.eq)
17/1/2024,2:00:00,5.613,V ugm-3 (Ref.eq)
17/1/2024,3:00:00,5.283,V ugm-3 (Ref.eq)
17/1/2024,4:00:00,4.104,V ugm-3 (Ref.eq)
17/1/2024,5:00:00,3.231,V ugm-3 (Ref.eq)
17/1/2024,6:00:00,2.877,V ugm-3 (Ref.eq)
